Date,Description,Amount,Balance
2024-01-01,Opening Balance,0.00,5000.00
2024-01-05,Salary Deposit,5500.00,10500.00
2024-01-06,Grocery Store Purchase,-125.50,10374.50
2024-01-07,Netflix Subscription,-15.99,10358.51
2024-01-08,Uber Ride,-28.75,10329.76
2024-01-10,Restaurant Dinner,-85.30,10244.46
2024-01-12,Electricity Bill Payment,-145.00,10099.46
2024-01-15,Amazon Purchase,-89.99,10009.47
2024-01-16,Gas Station,-55.00,9954.47
2024-01-18,Coffee Shop,-12.50,9941.97
2024-01-20,Freelance Income,1200.00,11141.97
2024-01-22,Internet Bill,-79.99,11061.98
2024-01-23,Pharmacy,-45.25,11016.73
2024-01-25,Supermarket,-165.80,10850.93
2024-01-26,Movie Tickets,-32.00,10818.93
2024-01-28,Insurance Premium,-250.00,10568.93
2024-01-29,ATM Withdrawal,-200.00,10368.93
2024-01-30,Restaurant Lunch,-42.50,10326.43
2024-02-01,Salary Deposit,5500.00,15826.43
2024-02-03,Rent Payment,-1500.00,14326.43
2024-02-05,Grocery Store,-142.30,14184.13
2024-02-07,Gym Membership,-59.99,14124.14
2024-02-08,Spotify Subscription,-9.99,14114.15
2024-02-10,Uber Eats Order,-35.75,14078.40
2024-02-12,Gas Station,-62.00,14016.40
2024-02-14,Valentine's Dinner,-125.00,13891.40
2024-02-15,Medical Checkup,-180.00,13711.40
2024-02-17,Amazon Purchase,-67.50,13643.90
2024-02-18,Coffee Shop,-8.75,13635.15
2024-02-20,Bonus Payment,1000.00,14635.15
2024-02-22,Phone Bill,-55.00,14580.15
2024-02-24,Supermarket,-178.90,14401.25
2024-02-26,Movie Streaming,-12.99,14388.26
2024-02-28,Parking Fee,-25.00,14363.26
2024-03-01,Salary Deposit,5500.00,19863.26
2024-03-03,Rent Payment,-1500.00,18363.26
2024-03-05,Grocery Store,-156.75,18206.51
2024-03-07,Restaurant,-78.50,18128.01
2024-03-09,Uber Ride,-22.00,18106.01
2024-03-11,Electricity Bill,-158.00,17948.01
2024-03-13,Amazon Purchase,-123.45,17824.56
2024-03-15,Gas Station,-68.00,17756.56
2024-03-17,Coffee Shop,-14.25,17742.31
2024-03-19,Side Project Payment,800.00,18542.31
2024-03-21,Internet Bill,-79.99,18462.32
2024-03-23,Shopping Mall,-234.50,18227.82
2024-03-25,Pharmacy,-38.90,18188.92
2024-03-27,Restaurant Dinner,-92.00,18096.92
2024-03-29,Gaming Subscription,-14.99,18081.93
2024-03-31,Supermarket,-145.60,17936.33

